layer_idx,name,type,params,trainable
3,model.0.conv,Conv2d,1792,False
4,model.0.act,SiLU,0,False
6,model.1.conv,Conv2d,73856,False
9,model.2.cv1.conv,Conv2d,16512,False
11,model.2.cv2.conv,Conv2d,49408,False
15,model.2.m.0.cv1.conv,Conv2d,2080,False
17,model.2.m.0.cv2.conv,Conv2d,2080,False
19,model.2.m.0.cv3.conv,Conv2d,4160,False
23,model.2.m.0.m.0.cv1.conv,Conv2d,9248,False
25,model.2.m.0.m.0.cv2.conv,Conv2d,9248,False
28,model.2.m.0.m.1.cv1.conv,Conv2d,9248,False
30,model.2.m.0.m.1.cv2.conv,Conv2d,9248,False
32,model.3.conv,Conv2d,590080,False
35,model.4.cv1.conv,Conv2d,65792,False
37,model.4.cv2.conv,Conv2d,197120,False
41,model.4.m.0.cv1.conv,Conv2d,8256,False
43,model.4.m.0.cv2.conv,Conv2d,8256,False
45,model.4.m.0.cv3.conv,Conv2d,16512,False
49,model.4.m.0.m.0.cv1.conv,Conv2d,36928,False
51,model.4.m.0.m.0.cv2.conv,Conv2d,36928,False
54,model.4.m.0.m.1.cv1.conv,Conv2d,36928,False
56,model.4.m.0.m.1.cv2.conv,Conv2d,36928,False
58,model.5.conv,Conv2d,2359808,False
61,model.6.cv1.conv,Conv2d,262656,False
63,model.6.cv2.conv,Conv2d,393728,False
67,model.6.m.0.cv1.conv,Conv2d,32896,False
69,model.6.m.0.cv2.conv,Conv2d,32896,False
71,model.6.m.0.cv3.conv,Conv2d,65792,False
75,model.6.m.0.m.0.cv1.conv,Conv2d,147584,False
77,model.6.m.0.m.0.cv2.conv,Conv2d,147584,False
80,model.6.m.0.m.1.cv1.conv,Conv2d,147584,False
82,model.6.m.0.m.1.cv2.conv,Conv2d,147584,False
84,model.7.conv,Conv2d,2359808,False
87,model.8.cv1.conv,Conv2d,262656,False
89,model.8.cv2.conv,Conv2d,393728,False
93,model.8.m.0.cv1.conv,Conv2d,32896,False
95,model.8.m.0.cv2.conv,Conv2d,32896,False
97,model.8.m.0.cv3.conv,Conv2d,65792,False
101,model.8.m.0.m.0.cv1.conv,Conv2d,147584,False
103,model.8.m.0.m.0.cv2.conv,Conv2d,147584,False
106,model.8.m.0.m.1.cv1.conv,Conv2d,147584,False
108,model.8.m.0.m.1.cv2.conv,Conv2d,147584,False
111,model.9.cv1.conv,Conv2d,131328,False
112,model.9.cv1.act,Identity,0,False
114,model.9.cv2.conv,Conv2d,524800,False
115,model.9.m,MaxPool2d,0,False
118,model.10.cv1.conv,Conv2d,262656,False
120,model.10.cv2.conv,Conv2d,262656,False
125,model.10.m.0.attn.qkv.conv,Conv2d,131584,False
126,model.10.m.0.attn.qkv.act,Identity,0,False
128,model.10.m.0.attn.proj.conv,Conv2d,65792,False
129,model.10.m.0.attn.proj.act,Identity,0,False
131,model.10.m.0.attn.pe.conv,Conv2d,2560,False
132,model.10.m.0.attn.pe.act,Identity,0,False
135,model.10.m.0.ffn.0.conv,Conv2d,131584,False
137,model.10.m.0.ffn.1.conv,Conv2d,131328,False
138,model.10.m.0.ffn.1.act,Identity,0,False
139,model.11,Upsample,0,False
140,model.12,Concat,0,False
143,model.13.cv1.conv,Conv2d,524800,False
145,model.13.cv2.conv,Conv2d,393728,False
149,model.13.m.0.cv1.conv,Conv2d,32896,False
151,model.13.m.0.cv2.conv,Conv2d,32896,False
153,model.13.m.0.cv3.conv,Conv2d,65792,False
157,model.13.m.0.m.0.cv1.conv,Conv2d,147584,False
159,model.13.m.0.m.0.cv2.conv,Conv2d,147584,False
162,model.13.m.0.m.1.cv1.conv,Conv2d,147584,False
164,model.13.m.0.m.1.cv2.conv,Conv2d,147584,False
165,model.14,Upsample,0,False
166,model.15,Concat,0,False
169,model.16.cv1.conv,Conv2d,262400,False
171,model.16.cv2.conv,Conv2d,98560,False
175,model.16.m.0.cv1.conv,Conv2d,8256,False
177,model.16.m.0.cv2.conv,Conv2d,8256,False
179,model.16.m.0.cv3.conv,Conv2d,16512,False
183,model.16.m.0.m.0.cv1.conv,Conv2d,36928,False
185,model.16.m.0.m.0.cv2.conv,Conv2d,36928,False
188,model.16.m.0.m.1.cv1.conv,Conv2d,36928,False
190,model.16.m.0.m.1.cv2.conv,Conv2d,36928,False
192,model.17.conv,Conv2d,590080,False
193,model.18,Concat,0,False
196,model.19.cv1.conv,Conv2d,393728,False
198,model.19.cv2.conv,Conv2d,393728,False
202,model.19.m.0.cv1.conv,Conv2d,32896,False
204,model.19.m.0.cv2.conv,Conv2d,32896,False
206,model.19.m.0.cv3.conv,Conv2d,65792,False
210,model.19.m.0.m.0.cv1.conv,Conv2d,147584,False
212,model.19.m.0.m.0.cv2.conv,Conv2d,147584,False
215,model.19.m.0.m.1.cv1.conv,Conv2d,147584,False
217,model.19.m.0.m.1.cv2.conv,Conv2d,147584,False
219,model.20.conv,Conv2d,2359808,False
220,model.21,Concat,0,False
223,model.22.cv1.conv,Conv2d,524800,False
225,model.22.cv2.conv,Conv2d,393728,False
229,model.22.m.0.cv1.conv,Conv2d,32896,False
231,model.22.m.0.cv2.conv,Conv2d,32896,False
233,model.22.m.0.cv3.conv,Conv2d,65792,False
237,model.22.m.0.m.0.cv1.conv,Conv2d,147584,False
239,model.22.m.0.m.0.cv2.conv,Conv2d,147584,False
242,model.22.m.0.m.1.cv1.conv,Conv2d,147584,False
244,model.22.m.0.m.1.cv2.conv,Conv2d,147584,False
249,model.23.cv2.0.0.conv,Conv2d,147520,False
251,model.23.cv2.0.1.conv,Conv2d,36928,False
252,model.23.cv2.0.2,Conv2d,4160,False
255,model.23.cv2.1.0.conv,Conv2d,294976,False
257,model.23.cv2.1.1.conv,Conv2d,36928,False
258,model.23.cv2.1.2,Conv2d,4160,False
261,model.23.cv2.2.0.conv,Conv2d,294976,False
263,model.23.cv2.2.1.conv,Conv2d,36928,False
264,model.23.cv2.2.2,Conv2d,4160,False
269,model.23.cv3.0.0.0.conv,Conv2d,2560,False
271,model.23.cv3.0.0.1.conv,Conv2d,65792,False
274,model.23.cv3.0.1.0.conv,Conv2d,2560,False
276,model.23.cv3.0.1.1.conv,Conv2d,65792,False
277,model.23.cv3.0.2,Conv2d,257,False
281,model.23.cv3.1.0.0.conv,Conv2d,5120,False
283,model.23.cv3.1.0.1.conv,Conv2d,131328,False
286,model.23.cv3.1.1.0.conv,Conv2d,2560,False
288,model.23.cv3.1.1.1.conv,Conv2d,65792,False
289,model.23.cv3.1.2,Conv2d,257,False
293,model.23.cv3.2.0.0.conv,Conv2d,5120,False
295,model.23.cv3.2.0.1.conv,Conv2d,131328,False
298,model.23.cv3.2.1.0.conv,Conv2d,2560,False
300,model.23.cv3.2.1.1.conv,Conv2d,65792,False
301,model.23.cv3.2.2,Conv2d,257,False
303,model.23.dfl.conv,Conv2d,16,False
